trial,mode,threads,payload_bytes,iters_per_thread,wall_ms,throughput_ops_s,p50_ns,p95_ns,p99_ns,p99_max_ns,mean_ns
0,full_pipeline,1,64,21673873,11042.66,1962741,410,445,548,548,411.46
0,full_pipeline,2,64,21673873,11551.16,3752673,425,473,579,591,431.06
0,full_pipeline,4,64,21673873,15223.61,5694806,566,616,641,641,576.25
1,full_pipeline,1,64,21673873,11020.44,1966697,410,437,541,541,409.94
1,full_pipeline,2,64,21673873,11634.51,3725791,427,489,571,577,432.66
1,full_pipeline,4,64,21673873,15207.75,5700745,564,613,641,641,574.92
2,full_pipeline,1,64,21673873,11009.01,1968739,410,438,546,546,410.42
2,full_pipeline,2,64,21673873,11489.14,3772931,423,505,579,588,429.78
2,full_pipeline,4,64,21673873,15481.20,5600049,576,634,659,671,583.45
3,full_pipeline,1,64,21673873,11055.45,1960469,410,436,533,533,411.12
3,full_pipeline,2,64,21673873,11776.62,3680829,431,593,647,674,439.58
3,full_pipeline,4,64,21673873,15205.27,5701674,564,613,640,641,574.04
4,full_pipeline,1,64,21673873,11117.94,1949451,411,433,527,527,415.40
4,full_pipeline,2,64,21673873,11683.24,3710251,435,460,552,568,434.07
4,full_pipeline,4,64,21673873,15199.46,5703854,563,615,640,641,574.56
0,verdict_only,1,64,22101132,11494.77,1922713,330,350,431,431,329.88
0,verdict_only,2,64,22101132,12064.43,3663851,341,430,503,527,352.45
0,verdict_only,4,64,22101132,15624.42,5658098,473,518,541,541,479.68
1,verdict_only,1,64,22101132,11559.45,1911953,330,381,453,453,332.44
1,verdict_only,2,64,22101132,12026.66,3675358,341,450,500,515,350.61
1,verdict_only,4,64,22101132,15583.56,5672935,472,515,541,542,478.91
2,verdict_only,1,64,22101132,11503.74,1921213,330,360,433,433,330.39
2,verdict_only,2,64,22101132,12004.26,3682216,341,465,483,491,350.43
2,verdict_only,4,64,22101132,15595.27,5668676,471,515,541,543,478.65
3,verdict_only,1,64,22101132,11495.34,1922617,330,380,451,451,330.72
3,verdict_only,2,64,22101132,12434.39,3554840,345,432,494,502,353.59
3,verdict_only,4,64,22101132,16263.98,5435604,482,525,551,564,486.74
4,verdict_only,1,64,22101132,11506.09,1920820,330,351,398,398,330.24
4,verdict_only,2,64,22101132,12143.97,3639853,355,403,460,461,354.68
4,verdict_only,4,64,22101132,15659.88,5645289,473,516,542,545,480.43
0,status_quo_async_log,1,64,23256679,13054.87,1781456,460,471,520,520,457.82
0,status_quo_async_log,2,64,23256679,12656.99,3674915,439,513,786,866,439.01
0,status_quo_async_log,4,64,23256679,23678.68,3928712,859,892,907,943,860.18
