trial,mode,threads,payload_bytes,iters_per_thread,wall_ms,throughput_ops_s,p50_ns,p95_ns,p99_ns,p99_max_ns,mean_ns
0,full_pipeline,1,64,1000000,6168.63,162111,5456,7559,9982,9982,5771.85
0,full_pipeline,2,64,1000000,6228.71,321094,5470,7829,15135,20161,5804.91
0,full_pipeline,4,64,1000000,6325.97,632314,5496,8560,11006,11953,5849.75
1,full_pipeline,1,64,1000000,6164.08,162230,5509,8866,12618,12618,5780.01
1,full_pipeline,2,64,1000000,6178.75,323690,5509,7179,9567,9599,5775.41
1,full_pipeline,4,64,1000000,6346.68,630251,5550,7141,10231,10970,5831.60
2,full_pipeline,1,64,1000000,6161.17,162307,5466,8432,10355,10355,5768.36
2,full_pipeline,2,64,1000000,6258.32,319575,5530,6982,9765,9847,5810.34
2,full_pipeline,4,64,1000000,6305.92,634325,5508,7638,11447,14198,5783.88
3,full_pipeline,1,64,1000000,6055.58,165137,5459,5700,9483,9483,5674.08
3,full_pipeline,2,64,1000000,6137.14,325885,5474,8554,9559,9786,5741.79
3,full_pipeline,4,64,1000000,6244.02,640613,5486,7546,10918,12051,5806.08
4,full_pipeline,1,64,1000000,6158.37,162381,5468,9001,9936,9936,5768.54
4,full_pipeline,2,64,1000000,6220.43,321521,5498,9279,9796,9945,5788.34
4,full_pipeline,4,64,1000000,6328.58,632053,5488,7493,10003,10433,5823.13
0,full_pipeline_durable,1,64,8644,1724.67,5012,220003,326202,432935,432935,198408.07
0,full_pipeline_durable,2,64,8644,654.42,26417,71458,103732,145848,147680,71570.76
0,full_pipeline_durable,4,64,8644,1447.48,23887,155739,239982,351922,365648,157795.41
1,full_pipeline_durable,1,64,8644,124.26,69563,12617,16409,37617,37617,13487.35
1,full_pipeline_durable,2,64,8644,701.53,24643,75163,109659,156047,158621,77325.82
1,full_pipeline_durable,4,64,8644,1406.50,24583,149846,251849,338005,340957,154267.71
2,full_pipeline_durable,1,64,8644,125.37,68946,12702,16891,38100,38100,13616.41
2,full_pipeline_durable,2,64,8644,712.56,24262,75413,104700,146486,150438,78013.11
2,full_pipeline_durable,4,64,8644,1358.76,25447,145888,237612,332729,339670,147508.02
3,full_pipeline_durable,1,64,8644,126.72,68214,12795,18315,38863,38863,13778.18
3,full_pipeline_durable,2,64,8644,704.10,24553,74227,101631,143802,145639,76841.96
3,full_pipeline_durable,4,64,8644,1408.94,24540,149826,240576,335663,348904,154687.71
4,full_pipeline_durable,1,64,8644,126.08,68560,12718,16956,40068,40068,13689.99
4,full_pipeline_durable,2,64,8644,697.73,24777,75560,125790,120738,142754,75714.55
4,full_pipeline_durable,4,64,8644,1377.99,25092,147001,206300,338075,361028,150419.46
0,verdict_only,1,64,1000000,6130.22,163126,3796,5271,7073,7073,3983.76
0,verdict_only,2,64,1000000,6270.69,318944,3812,5474,7438,7552,4060.93
0,verdict_only,4,64,1000000,6285.35,636401,3821,5812,7561,7843,4036.31
1,verdict_only,1,64,1000000,6099.19,163956,3787,6016,7179,7179,3969.41
1,verdict_only,2,64,1000000,6258.62,319559,3811,5235,7385,7583,4041.60
1,verdict_only,4,64,1000000,6200.27,645133,3806,5763,6385,7210,3991.92
2,verdict_only,1,64,1000000,6044.43,165441,3781,4032,6973,6973,3930.77
2,verdict_only,2,64,1000000,6319.94,316459,3820,5430,7550,7764,4083.63
2,verdict_only,4,64,1000000,6327.01,632210,3847,5099,7359,7760,4037.59
3,verdict_only,1,64,1000000,6234.30,160403,3819,7044,7542,7542,4065.82
3,verdict_only,2,64,1000000,6483.10,308494,3914,6079,7543,7623,4184.88
3,verdict_only,4,64,1000000,6324.15,632496,3829,5281,7653,7976,4050.43
4,verdict_only,1,64,1000000,6078.96,164502,3792,4088,7196,7196,3955.10
4,verdict_only,2,64,1000000,6211.44,321986,3796,5436,7542,7736,4013.20
4,verdict_only,4,64,1000000,6233.61,641682,3801,5458,7670,7840,4033.64
0,status_quo_async_log,1,64,2726010,1978.03,1378142,584,619,756,756,604.78
0,status_quo_async_log,2,64,2726010,2249.47,2423687,649,1201,1265,1292,688.92
0,status_quo_async_log,4,64,2726010,2229.75,4890258,622,1078,1361,1752,654.47
1,status_quo_async_log,1,64,2726010,2008.04,1357547,592,955,1101,1101,614.76
1,status_quo_async_log,2,64,2726010,2131.66,2557645,617,1149,1317,1395,645.09
1,status_quo_async_log,4,64,2726010,2121.53,5139700,596,1119,1493,1662,627.82
2,status_quo_async_log,1,64,2726010,2021.36,1348599,586,1137,1126,1126,615.36
2,status_quo_async_log,2,64,2726010,2141.29,2546135,615,1062,1227,1268,642.62
2,status_quo_async_log,4,64,2726010,2227.13,4896011,640,943,1109,1216,669.64
3,status_quo_async_log,1,64,2726010,2203.38,1237193,650,996,1222,1222,677.90
3,status_quo_async_log,2,64,2726010,2265.49,2406555,628,1144,1288,1352,659.44
3,status_quo_async_log,4,64,2726010,2133.02,5112016,607,1008,1122,1201,631.98
4,status_quo_async_log,1,64,2726010,1980.85,1376181,590,896,1154,1154,606.26
4,status_quo_async_log,2,64,2726010,2021.04,2697630,594,785,1041,1196,615.49
4,status_quo_async_log,4,64,2726010,2124.45,5132646,597,908,1106,1226,625.10
0,status_quo_digest_log,1,64,4170120,2256.12,1848355,400,667,888,888,428.32
0,status_quo_digest_log,2,64,4170120,2382.74,3500276,414,714,821,838,444.71
0,status_quo_digest_log,4,64,4170120,2479.34,6727785,406,819,780,831,443.16
1,status_quo_digest_log,1,64,4170120,2209.79,1887110,393,871,1263,1263,417.92
1,status_quo_digest_log,2,64,4170120,2361.37,3531956,410,815,891,912,433.34
1,status_quo_digest_log,4,64,4170120,2372.59,7030491,414,824,903,966,435.39
2,status_quo_digest_log,1,64,4170120,2155.36,1934766,386,652,855,855,407.55
2,status_quo_digest_log,2,64,4170120,2359.83,3534248,423,765,933,955,450.88
2,status_quo_digest_log,4,64,4170120,2442.60,6828986,414,815,1000,1226,448.45
3,status_quo_digest_log,1,64,4170120,2328.40,1790981,414,813,902,902,443.05
3,status_quo_digest_log,2,64,4170120,2271.55,3671608,398,841,953,1006,422.71
3,status_quo_digest_log,4,64,4170120,2398.06,6955817,411,838,1081,1288,440.35
4,status_quo_digest_log,1,64,4170120,2208.39,1888308,395,847,1002,1002,418.67
4,status_quo_digest_log,2,64,4170120,2470.38,3376093,439,827,849,875,468.11
4,status_quo_digest_log,4,64,4170120,2411.79,6916214,415,805,907,1065,446.30
0,full_pipeline,1,512,1000000,6490.92,154061,5830,6723,10046,10046,6087.45
0,full_pipeline,2,512,1000000,6579.65,303968,5854,7596,10513,10830,6147.23
0,full_pipeline,4,512,1000000,6671.97,599523,5878,8775,10179,10624,6156.74
1,full_pipeline,1,512,1000000,6489.61,154092,5834,8517,10337,10337,6087.57
1,full_pipeline,2,512,1000000,6736.87,296874,5933,9519,10696,10774,6271.54
1,full_pipeline,4,512,1000000,6596.62,606371,5858,7569,10837,11364,6144.09
2,full_pipeline,1,512,1000000,6520.02,153374,5828,7962,10779,10779,6114.97
2,full_pipeline,2,512,1000000,6658.26,300379,5846,9548,11207,12207,6192.57
2,full_pipeline,4,512,1000000,6714.49,595727,5920,8258,12458,13994,6274.01
3,full_pipeline,1,512,1000000,6676.59,149777,5864,8565,12824,12824,6240.37
3,full_pipeline,2,512,1000000,6688.98,298999,5896,7535,10894,11046,6215.40
3,full_pipeline,4,512,1000000,6758.48,591849,5903,8734,11363,11492,6263.81
4,full_pipeline,1,512,1000000,6466.73,154638,5827,6166,10049,10049,6063.00
4,full_pipeline,2,512,1000000,6644.36,301007,5889,8791,11338,11573,6202.49
4,full_pipeline,4,512,1000000,6592.95,606709,5850,8002,10742,11933,6128.35
0,full_pipeline_durable,1,512,9631,1925.53,5002,209502,335405,431102,431102,198726.20
0,full_pipeline_durable,2,512,9631,749.28,25707,69738,99814,138241,141594,73635.82
0,full_pipeline_durable,4,512,9631,1510.99,25496,144829,294821,393167,479595,147282.15
1,full_pipeline_durable,1,512,9631,152.22,63272,13436,19980,41693,41693,14802.86
1,full_pipeline_durable,2,512,9631,742.45,25944,69680,103541,151687,159003,72989.78
1,full_pipeline_durable,4,512,9631,1431.92,26904,136211,195672,318264,334440,140200.63
2,full_pipeline_durable,1,512,9631,152.88,62997,13521,17580,39567,39567,14761.37
2,full_pipeline_durable,2,512,9631,742.78,25932,69433,99896,137150,139638,73127.12
2,full_pipeline_durable,4,512,9631,1479.73,26035,144177,218302,353172,406049,145560.25
3,full_pipeline_durable,1,512,9631,143.78,66985,13176,16598,38389,38389,14003.25
3,full_pipeline_durable,2,512,9631,785.67,24517,75334,105880,151927,156026,77649.26
3,full_pipeline_durable,4,512,9631,1545.98,24919,147789,205901,321307,328026,152166.57
4,full_pipeline_durable,1,512,9631,147.70,65207,13328,18416,39107,39107,14369.60
4,full_pipeline_durable,2,512,9631,770.00,25016,74197,101403,144330,147644,75503.55
4,full_pipeline_durable,4,512,9631,1550.90,24840,149984,208197,326574,332047,152571.18
0,verdict_only,1,512,1000000,6587.43,151804,3793,6404,7454,7454,4025.02
0,verdict_only,2,512,1000000,6756.86,295995,3862,6213,7333,7434,4116.71
0,verdict_only,4,512,1000000,6686.62,598210,3811,5638,7501,7925,4031.95
1,verdict_only,1,512,1000000,6581.49,151941,3810,6487,7537,7537,4025.70
1,verdict_only,2,512,1000000,6829.70,292839,3855,6267,7402,7588,4101.71
1,verdict_only,4,512,1000000,6641.90,602237,3801,5347,7148,7703,4026.70
2,verdict_only,1,512,1000000,6498.59,153879,3789,5771,7293,7293,3966.11
2,verdict_only,2,512,1000000,6668.67,299910,3811,6064,9229,9825,4056.81
2,verdict_only,4,512,1000000,6644.85,601970,3807,5292,7845,8516,4010.65
3,verdict_only,1,512,1000000,6528.04,153185,3796,4109,7207,7207,3985.25
3,verdict_only,2,512,1000000,6652.19,300653,3827,5435,6632,6698,4039.91
3,verdict_only,4,512,1000000,6763.94,591371,3828,6160,8061,8385,4064.47
4,verdict_only,1,512,1000000,6573.42,152128,3791,4987,7615,7615,4011.46
4,verdict_only,2,512,1000000,6696.36,298670,3806,5503,7449,7648,4071.25
4,verdict_only,4,512,1000000,6726.80,594636,3815,6923,7927,8230,4079.80
0,status_quo_async_log,1,512,1000000,2907.75,343908,2354,4484,5414,5414,2674.34
0,status_quo_async_log,2,512,1000000,2912.44,686710,2415,4387,4644,4652,2658.67
0,status_quo_async_log,4,512,1000000,3013.83,1327213,2401,3729,4510,5155,2647.57
1,status_quo_async_log,1,512,1000000,2798.62,357320,2338,2995,4057,4057,2577.87
1,status_quo_async_log,2,512,1000000,2889.47,692168,2386,4503,4702,4805,2653.52
1,status_quo_async_log,4,512,1000000,2985.84,1339656,2439,4055,9988,23913,2690.08
2,status_quo_async_log,1,512,1000000,3062.13,326570,2766,3817,4751,4751,2822.48
2,status_quo_async_log,2,512,1000000,2984.00,670242,2449,4381,5708,5768,2726.32
2,status_quo_async_log,4,512,1000000,2960.13,1351290,2402,4078,4103,4774,2638.70
3,status_quo_async_log,1,512,1000000,2889.19,346118,2342,4596,5684,5684,2661.49
3,status_quo_async_log,2,512,1000000,2898.97,689901,2372,4966,4784,4846,2640.47
3,status_quo_async_log,4,512,1000000,2988.95,1338264,2423,4178,4530,4792,2670.15
4,status_quo_async_log,1,512,1000000,2781.39,359533,2342,3105,4560,4560,2562.60
4,status_quo_async_log,2,512,1000000,2970.82,673215,2456,4152,6017,6077,2733.36
4,status_quo_async_log,4,512,1000000,3003.49,1331784,2437,4358,6090,6773,2711.90
0,status_quo_digest_log,1,512,2395443,2230.11,1074138,765,1152,1138,1138,800.65
0,status_quo_digest_log,2,512,2395443,2277.99,2103122,771,1046,1257,1267,815.44
0,status_quo_digest_log,4,512,2395443,2412.03,3972489,788,1200,2378,2550,834.53
1,status_quo_digest_log,1,512,2395443,2217.98,1080013,767,848,1066,1066,797.94
1,status_quo_digest_log,2,512,2395443,2373.68,2018333,782,1335,1331,1351,837.34
1,status_quo_digest_log,4,512,2395443,2354.72,4069178,794,1090,10086,36441,833.55
2,status_quo_digest_log,1,512,2395443,2326.05,1029831,774,1191,1223,1223,835.50
2,status_quo_digest_log,2,512,2395443,2415.66,1983264,802,1267,1362,1371,860.87
2,status_quo_digest_log,4,512,2395443,2430.20,3942792,809,1291,1598,1740,851.07
3,status_quo_digest_log,1,512,2395443,2246.04,1066517,768,1178,1382,1382,807.50
3,status_quo_digest_log,2,512,2395443,2435.72,1966932,798,1206,3373,3492,865.08
3,status_quo_digest_log,4,512,2395443,2465.48,3886366,812,1403,3608,4107,868.31
4,status_quo_digest_log,1,512,2395443,2256.35,1061647,769,1232,1212,1212,811.70
4,status_quo_digest_log,2,512,2395443,2344.67,2043307,801,1268,1362,1386,842.93
4,status_quo_digest_log,4,512,2395443,2383.64,4019811,798,1228,1463,1876,837.41
0,full_pipeline,1,4096,1000000,7646.53,130778,6811,10019,12572,12572,7180.01
0,full_pipeline,2,4096,1000000,7840.52,255085,6918,10476,17667,18284,7349.42
0,full_pipeline,4,4096,1000000,7710.62,518765,6841,9766,15253,15819,7215.37
1,full_pipeline,1,4096,1000000,7650.43,130712,6818,8993,13557,13557,7185.21
1,full_pipeline,2,4096,1000000,7805.80,256220,6891,9519,17181,17717,7299.88
1,full_pipeline,4,4096,1000000,7860.72,508859,6842,9184,17102,20721,7274.01
2,full_pipeline,1,4096,1000000,7700.82,129856,6817,10041,14952,14952,7234.18
2,full_pipeline,2,4096,1000000,7714.99,259236,6823,9279,15742,17200,7229.60
2,full_pipeline,4,4096,1000000,7706.95,519012,6843,8669,17018,20420,7191.60
3,full_pipeline,1,4096,1000000,7625.32,131142,6832,10807,16711,16711,7156.30
3,full_pipeline,2,4096,1000000,7834.36,255286,6932,8715,16680,17099,7336.58
3,full_pipeline,4,4096,1000000,7826.14,511108,6899,10256,22966,30782,7288.81
4,full_pipeline,1,4096,1000000,7629.72,131066,6804,9886,13998,13998,7160.90
4,full_pipeline,2,4096,1000000,7741.59,258345,6903,8894,16332,17070,7249.06
4,full_pipeline,4,4096,1000000,7826.79,511065,6871,10027,14736,16527,7307.22
0,full_pipeline_durable,1,4096,7985,1726.21,4626,228066,383568,510447,510447,214864.40
0,full_pipeline_durable,2,4096,7985,717.37,22262,80768,109525,159870,162047,84792.80
0,full_pipeline_durable,4,4096,7985,1507.12,21193,174456,279569,410932,429685,178047.60
1,full_pipeline_durable,1,4096,7985,138.02,57854,14894,19430,44190,44190,16261.29
1,full_pipeline_durable,2,4096,7985,700.95,22783,79780,106977,152072,153993,82992.79
1,full_pipeline_durable,4,4096,7985,1429.82,22338,164259,227881,363294,371722,168423.42
2,full_pipeline_durable,1,4096,7985,139.89,57079,14993,21657,44346,44346,16431.15
2,full_pipeline_durable,2,4096,7985,706.77,22596,80254,106929,162834,164941,83910.67
2,full_pipeline_durable,4,4096,7985,1422.33,22456,164336,240233,378238,383657,168629.73
3,full_pipeline_durable,1,4096,7985,146.75,54413,15193,25203,47497,47497,17208.61
3,full_pipeline_durable,2,4096,7985,665.51,23997,76267,109811,152443,154656,78797.51
3,full_pipeline_durable,4,4096,7985,1477.14,21623,174769,288520,467631,554873,173488.35
4,full_pipeline_durable,1,4096,7985,138.33,57724,14934,19903,43527,43527,16264.96
4,full_pipeline_durable,2,4096,7985,722.83,22094,81867,111428,156297,158101,85856.23
4,full_pipeline_durable,4,4096,7985,1410.30,22648,167868,272958,382310,414777,164362.27
0,verdict_only,1,4096,1000000,7698.88,129889,4039,6411,7853,7853,4294.43
0,verdict_only,2,4096,1000000,7811.77,256024,4085,6055,7614,8208,4344.90
0,verdict_only,4,4096,1000000,8814.86,453779,4052,5755,8264,8397,4712.27
1,verdict_only,1,4096,1000000,7728.49,129391,4040,7753,8675,8675,4305.75
1,verdict_only,2,4096,1000000,7738.96,258433,4064,7461,6041,6041,4282.46
1,verdict_only,4,4096,1000000,7906.12,505937,4085,5522,7235,8558,4323.09
2,verdict_only,1,4096,1000000,7685.47,130116,4035,5895,8074,8074,4284.40
2,verdict_only,2,4096,1000000,7763.59,257613,4062,5979,8142,8194,4310.74
2,verdict_only,4,4096,1000000,8009.09,499433,4055,6099,8080,8371,4337.40
3,verdict_only,1,4096,1000000,7642.61,130845,4036,5387,8287,8287,4261.73
3,verdict_only,2,4096,1000000,7684.57,260262,4047,5914,8602,9150,4271.48
3,verdict_only,4,4096,1000000,7876.96,507810,4078,5884,7557,8447,4343.44
4,verdict_only,1,4096,1000000,7636.73,130946,4050,6222,7830,7830,4260.73
4,verdict_only,2,4096,1000000,7705.06,259570,4059,5448,7337,8135,4276.64
4,verdict_only,4,4096,1000000,7838.94,510273,4067,6367,8330,8464,4328.49
0,status_quo_async_log,1,4096,1000000,19714.54,50724,16555,25440,41269,41269,18675.00
0,status_quo_async_log,2,4096,1000000,20675.98,96731,17355,28502,41251,41306,19196.46
0,status_quo_async_log,4,4096,1000000,20144.89,198562,16722,26275,42604,44394,18841.08
1,status_quo_async_log,1,4096,1000000,19756.97,50615,16562,26783,39862,39862,18720.06
1,status_quo_async_log,2,4096,1000000,19682.29,101614,16568,23363,39362,40770,18596.85
1,status_quo_async_log,4,4096,1000000,20388.81,196186,16806,30700,43136,47309,18994.18
2,status_quo_async_log,1,4096,1000000,19472.51,51354,16547,22233,40853,40853,18430.08
2,status_quo_async_log,2,4096,1000000,19986.56,100067,16845,26823,39911,40739,18903.18
2,status_quo_async_log,4,4096,1000000,22221.84,180003,17735,26846,43343,47380,19485.38
3,status_quo_async_log,1,4096,1000000,19662.14,50859,16568,33155,41000,41000,18488.78
3,status_quo_async_log,2,4096,1000000,22426.59,89180,20803,27203,43445,43658,20781.03
3,status_quo_async_log,4,4096,1000000,21874.95,182858,18737,26573,43382,46241,19893.02
4,status_quo_async_log,1,4096,1000000,21029.45,47552,18451,25215,42384,42384,19921.25
4,status_quo_async_log,2,4096,1000000,19859.96,100705,16565,26910,41579,43395,18755.05
4,status_quo_async_log,4,4096,1000000,20242.10,197608,16614,26068,40693,42026,18783.62
0,status_quo_digest_log,1,4096,1000000,1662.06,601663,1423,2033,2317,2317,1486.09
0,status_quo_digest_log,2,4096,1000000,1673.75,1194923,1423,1908,2380,2559,1492.86
0,status_quo_digest_log,4,4096,1000000,1779.02,2248426,1427,1917,2017,2283,1532.71
1,status_quo_digest_log,1,4096,1000000,1653.65,604724,1413,1753,1980,1980,1482.13
1,status_quo_digest_log,2,4096,1000000,1702.37,1174833,1439,2011,2136,2382,1511.21
