trial,mode,threads,payload_bytes,iters_per_thread,wall_ms,throughput_ops_s,p50_ns,p95_ns,p99_ns,p99_max_ns,mean_ns
0,full_pipeline,1,64,3768607,5611.32,671608,1311,1481,1665,1665,1328.69
0,full_pipeline,2,64,3768607,7415.56,1016406,1298,1724,2965,2966,1737.72
1,full_pipeline,1,64,3768607,5572.00,676347,1311,1457,1856,1856,1330.12
1,full_pipeline,2,64,3768607,8846.55,851995,1535,1845,5160,5288,2135.24
2,full_pipeline,1,64,3768607,5540.84,680151,1309,1322,1429,1429,1323.75
2,full_pipeline,2,64,3768607,7421.05,1015654,1297,1468,2173,2371,1763.88
3,full_pipeline,1,64,3768607,5572.08,676337,1311,1442,1670,1670,1330.15
3,full_pipeline,2,64,3768607,9091.49,829041,1591,2022,5084,5088,2201.21
4,full_pipeline,1,64,3768607,5589.27,674258,1311,1482,1788,1788,1334.62
4,full_pipeline,2,64,3768607,7402.32,1018223,1302,1445,2017,2057,1761.54
0,full_pipeline_durable,1,64,272557,6566.81,41505,17265,35638,51805,51805,23096.00
0,full_pipeline_durable,2,64,272557,8690.70,62724,10524,31417,363585,709026,30191.55
1,full_pipeline_durable,1,64,272557,2602.97,104710,8291,16613,34756,34756,8967.00
1,full_pipeline_durable,2,64,272557,8562.47,63663,10509,15641,42362,51773,29540.88
2,full_pipeline_durable,1,64,272557,2582.48,105541,8270,11890,18042,18042,8890.41
2,full_pipeline_durable,2,64,272557,8502.39,64113,10488,16651,42488,66875,29024.23
3,full_pipeline_durable,1,64,272557,2572.04,105969,8229,11921,17995,17995,8854.22
3,full_pipeline_durable,2,64,272557,8192.44,66539,10068,15474,198285,354377,27778.87
4,full_pipeline_durable,1,64,272557,2607.65,104522,8252,13583,27022,27022,8882.65
4,full_pipeline_durable,2,64,272557,8470.91,64351,10437,16940,60789,93383,28734.04
0,full_pipeline,1,512,2977479,5512.49,540134,1666,1787,1797,1797,1686.03
0,full_pipeline,2,512,2977479,7344.37,810820,1652,1759,2185,2215,2245.11
1,full_pipeline,1,512,2977479,5545.61,536907,1674,2399,4497,4497,1700.00
1,full_pipeline,2,512,2977479,7370.32,807964,1653,1753,1968,2074,2245.04
2,full_pipeline,1,512,2977479,5526.26,538788,1667,1782,1958,1958,1690.17
2,full_pipeline,2,512,2977479,7482.15,795889,1655,1852,1880,1889,2254.87
3,full_pipeline,1,512,2977479,5530.14,538410,1669,2209,3977,3977,1692.13
3,full_pipeline,2,512,2977479,7332.52,812130,1652,1756,1835,1850,2234.68
4,full_pipeline,1,512,2977479,5553.71,536125,1670,1979,3300,3300,1700.37
4,full_pipeline,2,512,2977479,7454.76,798813,1656,2030,2110,2194,2256.45
0,full_pipeline_durable,1,512,182513,4792.25,38085,19304,36356,48539,48539,25059.75
0,full_pipeline_durable,2,512,182513,6227.02,58620,11323,38769,392748,410759,32332.49
1,full_pipeline_durable,1,512,182513,1886.01,96772,8944,15759,31891,31891,9711.22
1,full_pipeline_durable,2,512,182513,5995.43,60884,11319,16634,260397,446108,30051.73
2,full_pipeline_durable,1,512,182513,1878.16,97176,8933,13061,19607,19607,9639.40
2,full_pipeline_durable,2,512,182513,6064.15,60194,11007,37651,499527,604402,30554.02
3,full_pipeline_durable,1,512,182513,1870.75,97562,8899,12863,20820,20820,9634.85
3,full_pipeline_durable,2,512,182513,6188.54,58984,11085,38592,468110,473693,31941.88
4,full_pipeline_durable,1,512,182513,1891.20,96506,9023,22508,43992,43992,9739.99
4,full_pipeline_durable,2,512,182513,6369.06,57312,11329,45778,469587,512915,33079.28
0,full_pipeline,1,4096,2216208,5425.58,408474,2217,2551,2627,2627,2252.41
0,full_pipeline,2,4096,2216208,7257.22,610759,2205,2514,3104,3460,2998.82
1,full_pipeline,1,4096,2216208,5411.48,409538,2216,2374,2494,2494,2243.56
1,full_pipeline,2,4096,2216208,7290.09,608006,2201,2686,4035,4878,2951.97
2,full_pipeline,1,4096,2216208,5420.39,408865,2218,2910,4738,4738,2252.87
2,full_pipeline,2,4096,2216208,7230.59,613009,2200,2599,3018,3034,2971.91
3,full_pipeline,1,4096,2216208,5418.50,409008,2218,2388,2864,2864,2251.17
3,full_pipeline,2,4096,2216208,7354.90,602648,2204,2389,2629,2739,2960.45
4,full_pipeline,1,4096,2216208,5431.35,408040,2220,2687,3862,3862,2256.01
4,full_pipeline,2,4096,2216208,7233.38,612772,2204,2436,3122,3220,2990.47
0,full_pipeline_durable,1,4096,186597,5152.82,36213,19573,38298,51403,51403,26338.44
0,full_pipeline_durable,2,4096,186597,9386.50,39759,39048,60927,128030,144929,47391.86
1,full_pipeline_durable,1,4096,186597,2145.30,86979,10223,14177,21906,21906,10815.26
1,full_pipeline_durable,2,4096,186597,9850.58,37885,40145,69616,190748,233612,50418.63
2,full_pipeline_durable,1,4096,186597,2147.03,86909,10229,14453,24987,24987,10829.10
2,full_pipeline_durable,2,4096,186597,7956.37,46905,13815,101547,314515,384955,39009.39
3,full_pipeline_durable,1,4096,186597,2137.36,87302,10170,14420,24257,24257,10777.51
3,full_pipeline_durable,2,4096,186597,6955.74,53653,12613,167539,603992,955222,32757.27
4,full_pipeline_durable,1,4096,186597,2119.31,88046,10135,13937,21549,21549,10685.78
4,full_pipeline_durable,2,4096,186597,7713.57,48381,19168,92241,288862,382042,37228.88
0,verdict_only,1,64,5087083,7569.57,672044,961,1081,1578,1578,977.62
0,verdict_only,2,64,5087083,10024.66,1014914,955,1028,1175,1223,1280.43
1,verdict_only,1,64,5087083,7559.52,672937,960,1041,1212,1212,973.79
1,verdict_only,2,64,5087083,12724.66,799563,1210,1528,4647,4664,1661.12
2,verdict_only,1,64,5087083,7535.80,675055,961,1029,1067,1067,972.93
2,verdict_only,2,64,5087083,10294.18,988342,954,1216,1574,1958,1327.46
3,verdict_only,1,64,5087083,7560.64,672837,960,1041,1126,1126,974.99
3,verdict_only,2,64,5087083,13432.66,757420,1297,1624,4699,4725,1785.74
4,verdict_only,1,64,5087083,7575.62,671507,962,1173,2230,2230,979.46
4,verdict_only,2,64,5087083,10047.70,1012586,954,1088,1656,1657,1279.54
0,verdict_only,1,512,5095998,9498.03,536532,959,1111,1278,1278,973.66
0,verdict_only,2,512,5095998,12735.25,800298,955,1034,1243,1259,1292.86
1,verdict_only,1,512,5095998,9498.22,536522,960,1071,1307,1307,974.31
1,verdict_only,2,512,5095998,12653.18,805489,955,1030,1193,1196,1269.95
2,verdict_only,1,512,5095998,9482.82,537393,960,1047,1225,1225,973.00
2,verdict_only,2,512,5095998,12834.32,794121,956,1238,1712,1749,1262.55
3,verdict_only,1,512,5095998,9488.31,537082,960,1062,1340,1340,973.22
3,verdict_only,2,512,5095998,12691.53,803055,954,1025,1267,1304,1297.08
4,verdict_only,1,512,5095998,9480.52,537523,960,1080,1399,1399,972.59
4,verdict_only,2,512,5095998,13046.44,781209,956,1215,1667,1802,1319.65
0,verdict_only,1,4096,5196000,12781.62,406521,964,1097,1665,1665,984.11
0,verdict_only,2,4096,5196000,17098.30,607780,960,1156,1624,1689,1342.05
1,verdict_only,1,4096,5196000,12743.19,407747,964,1218,1904,1904,978.72
1,verdict_only,2,4096,5196000,16982.21,611935,957,1034,1249,1270,1268.85
2,verdict_only,1,4096,5196000,12742.93,407755,965,1045,1186,1186,979.91
2,verdict_only,2,4096,5196000,17138.60,606351,960,1051,1217,1222,1307.86
3,verdict_only,1,4096,5196000,12715.02,408651,964,1052,1205,1205,977.06
3,verdict_only,2,4096,5196000,16992.21,611574,961,1046,1354,1354,1278.23
4,verdict_only,1,4096,5196000,12745.61,407670,964,1055,1221,1221,978.89
4,verdict_only,2,4096,5196000,17134.36,606501,960,1032,1268,1325,1298.59
0,status_quo_async_log,1,64,6678813,5893.52,1133247,751,842,913,913,761.39
0,status_quo_async_log,2,64,6678813,7934.54,1683478,754,1119,3297,4238,1033.70
1,status_quo_async_log,1,64,6678813,5899.59,1132080,751,848,925,925,762.64
1,status_quo_async_log,2,64,6678813,8094.82,1650146,751,803,942,982,1018.98
2,status_quo_async_log,1,64,6678813,6036.61,1106385,768,1273,3507,3507,783.82
2,status_quo_async_log,2,64,6678813,8314.87,1606474,790,1088,1803,1816,1078.83
3,status_quo_async_log,1,64,6678813,6202.27,1076834,793,918,1216,1216,806.00
3,status_quo_async_log,2,64,6678813,8307.15,1607968,775,936,947,990,1061.60
4,status_quo_async_log,1,64,6678813,6009.56,1111364,766,905,1112,1112,778.61
4,status_quo_async_log,2,64,6678813,8166.29,1635703,770,1003,1549,1809,1058.29
0,status_quo_async_log,1,512,1343159,5313.11,252801,3628,4028,4426,4426,3688.29
0,status_quo_async_log,2,512,1343159,7183.98,373931,3664,4741,9678,12201,4999.95
1,status_quo_async_log,1,512,1343159,5367.93,250219,3675,4127,4621,4621,3726.65
1,status_quo_async_log,2,512,1343159,7236.74,371206,3686,4176,6243,7418,4993.27
2,status_quo_async_log,1,512,1343159,5321.78,252389,3629,4047,5112,5112,3695.03
2,status_quo_async_log,2,512,1343159,7224.10,371855,3684,4616,6880,7280,5009.58
3,status_quo_async_log,1,512,1343159,5358.24,250672,3649,4541,5018,5018,3717.18
3,status_quo_async_log,2,512,1343159,7214.91,372329,3669,4179,5313,6156,5005.77
4,status_quo_async_log,1,512,1343159,5527.95,242976,3631,4045,5206,5206,3842.53
4,status_quo_async_log,2,512,1343159,7192.63,373482,3659,4090,4676,4822,4941.45
0,status_quo_async_log,1,4096,1000000,28792.52,34731,26591,32252,42699,42699,27273.71
0,status_quo_async_log,2,4096,1000000,38414.60,52064,26603,33087,42542,43638,36242.73
1,status_quo_async_log,1,4096,1000000,28450.49,35149,26590,30828,37420,37420,27012.62
1,status_quo_async_log,2,4096,1000000,38545.50,51887,26596,31984,37815,39360,36107.13
2,status_quo_async_log,1,4096,1000000,28546.36,35031,26606,33297,46942,46942,27105.43
2,status_quo_async_log,2,4096,1000000,38406.04,52075,26603,33684,44878,45234,36194.71
3,status_quo_async_log,1,4096,1000000,28612.13,34950,26593,33655,42462,42462,27172.71
3,status_quo_async_log,2,4096,1000000,38410.96,52068,26606,32161,39010,40074,36158.34
4,status_quo_async_log,1,4096,1000000,28434.41,35169,26591,30703,35516,35516,26992.90
4,status_quo_async_log,2,4096,1000000,38254.81,52281,26595,33652,44353,44839,36231.17
0,status_quo_digest_log,1,64,11332767,6210.58,1824752,437,540,596,596,443.39
0,status_quo_digest_log,2,64,11332767,8574.47,2643373,437,649,1009,1026,606.79
1,status_quo_digest_log,1,64,11332767,6233.45,1818058,438,548,767,767,443.97
1,status_quo_digest_log,2,64,11332767,8687.33,2609033,450,763,1527,1563,603.31
2,status_quo_digest_log,1,64,11332767,6225.48,1820383,438,505,586,586,444.07
2,status_quo_digest_log,2,64,11332767,8683.90,2610064,457,569,688,704,616.15
3,status_quo_digest_log,1,64,11332767,6316.72,1794091,447,493,530,530,452.54
3,status_quo_digest_log,2,64,11332767,8775.73,2582753,463,685,1387,1429,626.69
4,status_quo_digest_log,1,64,11332767,6377.50,1776993,449,589,1144,1144,456.98
4,status_quo_digest_log,2,64,11332767,8840.07,2563954,466,607,689,692,638.12
0,status_quo_digest_log,1,512,6180511,5832.85,1059604,811,865,950,950,819.98
0,status_quo_digest_log,2,512,6180511,8077.49,1530305,813,1332,1032,1040,1085.49
1,status_quo_digest_log,1,512,6180511,5848.59,1056753,811,873,1063,1063,822.09
1,status_quo_digest_log,2,512,6180511,7962.29,1552446,821,1125,1850,1969,1106.57
2,status_quo_digest_log,1,512,6180511,5859.81,1054729,812,918,1202,1202,824.12
2,status_quo_digest_log,2,512,6180511,7926.59,1559438,823,1026,1829,1853,1123.88
3,status_quo_digest_log,1,512,6180511,5854.13,1055751,811,1035,2218,2218,822.18
3,status_quo_digest_log,2,512,6180511,7914.91,1561738,818,1428,3620,3692,1116.36
4,status_quo_digest_log,1,512,6180511,5844.73,1057449,811,880,969,969,821.79
4,status_quo_digest_log,2,512,6180511,7908.45,1563014,820,874,1013,1016,1124.35
0,status_quo_digest_log,1,4096,3687752,5622.92,655843,1353,1648,1870,1870,1373.17
0,status_quo_digest_log,2,4096,3687752,7605.11,969809,1353,1837,2836,4103,1849.88
1,status_quo_digest_log,1,4096,3687752,5630.36,654976,1352,1727,3074,3074,1375.23
1,status_quo_digest_log,2,4096,3687752,7572.89,973936,1357,2599,6335,8345,1831.17
2,status_quo_digest_log,1,4096,3687752,5608.11,657575,1350,1480,2126,2126,1369.73
2,status_quo_digest_log,2,4096,3687752,7511.86,981848,1343,1490,1757,1933,1829.48
3,status_quo_digest_log,1,4096,3687752,5579.22,660980,1340,1526,1918,1918,1361.68
3,status_quo_digest_log,2,4096,3687752,7653.77,963643,1367,1466,1738,1757,1847.87
4,status_quo_digest_log,1,4096,3687752,5624.11,655705,1339,1420,1678,1678,1372.26
4,status_quo_digest_log,2,4096,3687752,7529.07,979604,1351,2070,4251,6738,1841.44
