trial,mode,threads,payload_bytes,iters_per_thread,wall_ms,throughput_ops_s,p50_ns,p95_ns,p99_ns,p99_max_ns,mean_ns
0,full_pipeline,1,64,1000000,6465.85,154659,5738,10135,11788,11788,6063.54
0,full_pipeline,2,64,1000000,6397.10,312642,5725,8032,10097,10301,5993.00
0,full_pipeline,4,64,1000000,6683.17,598519,5732,8630,12226,17679,6138.71
1,full_pipeline,1,64,1000000,6401.62,156210,5720,9525,10412,10412,6006.15
1,full_pipeline,2,64,1000000,6444.91,310322,5715,9461,9827,9950,6044.42
1,full_pipeline,4,64,1000000,6442.18,620908,5717,7716,10022,10325,6006.67
2,full_pipeline,1,64,1000000,6368.55,157022,5726,7860,10240,10240,5976.69
2,full_pipeline,2,64,1000000,6518.49,306820,5716,8071,10168,10294,6047.14
2,full_pipeline,4,64,1000000,6599.06,606147,5717,7666,9878,10901,6108.05
3,full_pipeline,1,64,1000000,6357.72,157289,5723,8159,9728,9728,5964.08
3,full_pipeline,2,64,1000000,6467.74,309227,5717,9657,10363,10967,6017.42
3,full_pipeline,4,64,1000000,6571.70,608671,5721,9247,9962,10583,6030.24
4,full_pipeline,1,64,1000000,6404.31,156145,5715,10461,9706,9706,6001.88
4,full_pipeline,2,64,1000000,6485.85,308364,5718,10184,10236,10551,6022.69
4,full_pipeline,4,64,1000000,6555.28,610195,5732,8512,10720,11135,6070.52
0,full_pipeline_durable,1,64,18596,5113.07,3637,239907,364903,455566,455566,261508.50
0,full_pipeline_durable,2,64,18596,11358.52,3274,290306,932340,8717307,9112704,570617.76
0,full_pipeline_durable,4,64,18596,22254.42,3342,260185,6801526,29210937,42026740,1043993.50
1,full_pipeline_durable,1,64,18596,5329.70,3489,239906,391872,578386,578386,273717.15
1,full_pipeline_durable,2,64,18596,11655.35,3191,274035,1105541,9011411,9802718,587780.51
1,full_pipeline_durable,4,64,18596,23194.56,3207,265027,734354,32543492,49512784,1100071.31
2,full_pipeline_durable,1,64,18596,5575.86,3335,243623,401712,500450,500450,284623.42
2,full_pipeline_durable,2,64,18596,11943.00,3114,278012,957059,10927246,10978575,598525.20
2,full_pipeline_durable,4,64,18596,22306.58,3335,255723,1391197,29563486,44084804,1031091.57
3,full_pipeline_durable,1,64,18596,5522.01,3368,243260,385117,514086,514086,282247.23
3,full_pipeline_durable,2,64,18596,11986.75,3103,280331,1142720,10966554,11266919,604879.14
3,full_pipeline_durable,4,64,18596,22945.25,3242,257412,526651,33931424,40439481,1102069.08
4,full_pipeline_durable,1,64,18596,5642.71,3296,242586,378358,480098,480098,288479.20
4,full_pipeline_durable,2,64,18596,11498.85,3234,274371,1306295,9243133,10568888,562763.01
4,full_pipeline_durable,4,64,18596,23158.34,3212,262077,3848529,31092775,45941835,1139730.58
0,verdict_only,1,64,1103077,7125.17,154814,3991,6827,7361,7361,4225.59
0,verdict_only,2,64,1103077,7111.62,310218,3991,5758,7292,7319,4207.26
0,verdict_only,4,64,1103077,7207.36,612195,3990,5908,7048,7167,4211.05
1,verdict_only,1,64,1103077,7071.96,155979,3992,4914,7266,7266,4196.74
1,verdict_only,2,64,1103077,7102.36,310623,3994,5025,7611,7646,4205.60
1,verdict_only,4,64,1103077,7357.23,599724,4053,5749,7410,7671,4286.82
2,verdict_only,1,64,1103077,7176.81,153700,4002,6542,7545,7545,4265.09
2,verdict_only,2,64,1103077,7122.53,309743,4005,6692,7105,7105,4211.14
2,verdict_only,4,64,1103077,7451.00,592176,3995,6035,7031,7447,4245.95
3,verdict_only,1,64,1103077,6968.18,158302,3992,4030,6501,6501,4134.80
3,verdict_only,2,64,1103077,7018.79,314321,3994,4613,7279,7389,4167.31
3,verdict_only,4,64,1103077,7929.66,556431,4181,6978,7537,7798,4414.90
4,verdict_only,1,64,1103077,7071.90,155980,3989,6884,6881,6881,4199.60
4,verdict_only,2,64,1103077,7159.40,308148,3991,6310,7491,7610,4223.54
4,verdict_only,4,64,1103077,7184.50,614143,4001,5912,7388,7509,4242.28
0,status_quo_async_log,1,64,5688874,5108.04,1113710,737,1232,1501,1501,771.27
0,status_quo_async_log,2,64,5688874,5762.60,1974411,812,1612,1770,1896,863.94
0,status_quo_async_log,4,64,5688874,5578.62,4079051,758,1348,1522,1567,807.07
1,status_quo_async_log,1,64,5688874,5101.01,1115244,734,1158,1381,1381,769.66
1,status_quo_async_log,2,64,5688874,5615.43,2026158,771,1452,1535,1609,813.17
1,status_quo_async_log,4,64,5688874,5610.04,4056213,771,1295,1582,1776,815.50
2,status_quo_async_log,1,64,5688874,5093.21,1116952,736,1216,1455,1455,767.91
2,status_quo_async_log,2,64,5688874,5672.85,2005648,806,1588,1733,1870,857.16
2,status_quo_async_log,4,64,5688874,5471.50,4158913,754,1199,1525,1739,786.91
3,status_quo_async_log,1,64,5688874,5118.55,1111424,738,1436,1619,1619,771.43
3,status_quo_async_log,2,64,5688874,5585.30,2037088,773,1517,1548,1590,818.81
3,status_quo_async_log,4,64,5688874,5714.54,3982032,787,1426,1565,1601,842.64
4,status_quo_async_log,1,64,5688874,5099.94,1115478,735,1225,1427,1427,769.81
4,status_quo_async_log,2,64,5688874,5581.56,2038453,795,1457,2203,2652,833.59
