rho_usd_per_decision,c_fixed_usd_per_year,n_star_decisions_per_year
0.005,1000.0,200000.0
0.005,2000.0,400000.0
0.005,3000.0,600000.0
0.005,4000.0,800000.0
0.005,5000.0,1000000.0
0.005,6000.0,1200000.0
0.005,7000.0,1400000.0
0.005,8000.0,1600000.0
0.005,9000.0,1800000.0
0.005,10000.0,2000000.0
0.005,11000.0,2200000.0
0.005,12000.0,2400000.0
0.005,13000.0,2600000.0
0.005,14000.0,2800000.0
0.005,15000.0,3000000.0
0.005,16000.0,3200000.0
0.005,17000.0,3400000.0
0.005,18000.0,3600000.0
0.005,19000.0,3800000.0
0.005,20000.0,4000000.0
0.005,21000.0,4200000.0
0.005,22000.0,4400000.0
0.005,23000.0,4600000.0
0.005,24000.0,4800000.0
0.005,25000.0,5000000.0
0.005,26000.0,5200000.0
0.005,27000.0,5400000.0
0.005,28000.0,5600000.0
0.005,29000.0,5800000.0
0.005,30000.0,6000000.0
0.005,31000.0,6200000.0
0.005,32000.0,6400000.0
0.005,33000.0,6600000.0
0.005,34000.0,6800000.0
0.005,35000.0,7000000.0
0.005,36000.0,7200000.0
0.005,37000.0,7400000.0
0.005,38000.0,7600000.0
0.005,39000.0,7800000.0
0.005,40000.0,8000000.0
0.005,41000.0,8200000.0
0.005,42000.0,8400000.0
0.005,43000.0,8600000.0
0.005,44000.0,8800000.0
0.005,45000.0,9000000.0
0.005,46000.0,9200000.0
0.005,47000.0,9400000.0
0.005,48000.0,9600000.0
0.005,49000.0,9800000.0
0.005,50000.0,10000000.0
0.005918367346938775,1000.0,168965.5172413793
0.005918367346938775,2000.0,337931.0344827586
0.005918367346938775,3000.0,506896.551724138
0.005918367346938775,4000.0,675862.0689655172
0.005918367346938775,5000.0,844827.5862068966
0.005918367346938775,6000.0,1013793.103448276
0.005918367346938775,7000.0,1182758.6206896552
0.005918367346938775,8000.0,1351724.1379310344
0.005918367346938775,9000.0,1520689.655172414
0.005918367346938775,10000.0,1689655.1724137932
0.005918367346938775,11000.0,1858620.6896551724
0.005918367346938775,12000.0,2027586.206896552
0.005918367346938775,13000.0,2196551.724137931
0.005918367346938775,14000.0,2365517.2413793104
0.005918367346938775,15000.0,2534482.7586206896
0.005918367346938775,16000.0,2703448.275862069
0.005918367346938775,17000.0,2872413.7931034486
0.005918367346938775,18000.0,3041379.310344828
0.005918367346938775,19000.0,3210344.827586207
0.005918367346938775,20000.0,3379310.3448275863
0.005918367346938775,21000.0,3548275.8620689656
0.005918367346938775,22000.0,3717241.379310345
0.005918367346938775,23000.0,3886206.896551724
0.005918367346938775,24000.0,4055172.413793104
0.005918367346938775,25000.0,4224137.931034483
0.005918367346938775,26000.0,4393103.448275862
0.005918367346938775,27000.0,4562068.9655172415
0.005918367346938775,28000.0,4731034.482758621
0.005918367346938775,29000.0,4900000.0
0.005918367346938775,30000.0,5068965.517241379
0.005918367346938775,31000.0,5237931.0344827585
0.005918367346938775,32000.0,5406896.551724138
0.005918367346938775,33000.0,5575862.068965517
0.005918367346938775,34000.0,5744827.586206897
0.005918367346938775,35000.0,5913793.103448276
0.005918367346938775,36000.0,6082758.620689656
0.005918367346938775,37000.0,6251724.137931035
0.005918367346938775,38000.0,6420689.655172414
0.005918367346938775,39000.0,6589655.172413793
0.005918367346938775,40000.0,6758620.689655173
0.005918367346938775,41000.0,6927586.206896552
0.005918367346938775,42000.0,7096551.724137931
0.005918367346938775,43000.0,7265517.24137931
0.005918367346938775,44000.0,7434482.75862069
0.005918367346938775,45000.0,7603448.275862069
0.005918367346938775,46000.0,7772413.793103448
0.005918367346938775,47000.0,7941379.310344827
0.005918367346938775,48000.0,8110344.827586208
0.005918367346938775,49000.0,8279310.344827587
0.005918367346938775,50000.0,8448275.862068966
0.0068367346938775515,1000.0,146268.6567164179
0.0068367346938775515,2000.0,292537.3134328358
0.0068367346938775515,3000.0,438805.9701492537
0.0068367346938775515,4000.0,585074.6268656716
0.0068367346938775515,5000.0,731343.2835820895
0.0068367346938775515,6000.0,877611.9402985075
0.0068367346938775515,7000.0,1023880.5970149253
0.0068367346938775515,8000.0,1170149.2537313432
0.0068367346938775515,9000.0,1316417.9104477612
0.0068367346938775515,10000.0,1462686.567164179
0.0068367346938775515,11000.0,1608955.223880597
0.0068367346938775515,12000.0,1755223.880597015
0.0068367346938775515,13000.0,1901492.5373134327
0.0068367346938775515,14000.0,2047761.1940298507
0.0068367346938775515,15000.0,2194029.8507462684
0.0068367346938775515,16000.0,2340298.5074626864
0.0068367346938775515,17000.0,2486567.1641791044
0.0068367346938775515,18000.0,2632835.8208955224
0.0068367346938775515,19000.0,2779104.47761194
0.0068367346938775515,20000.0,2925373.134328358
0.0068367346938775515,21000.0,3071641.791044776
0.0068367346938775515,22000.0,3217910.447761194
0.0068367346938775515,23000.0,3364179.104477612
0.0068367346938775515,24000.0,3510447.76119403
0.0068367346938775515,25000.0,3656716.4179104473
0.0068367346938775515,26000.0,3802985.0746268653
0.0068367346938775515,27000.0,3949253.7313432833
0.0068367346938775515,28000.0,4095522.3880597013
0.0068367346938775515,29000.0,4241791.044776119
0.0068367346938775515,30000.0,4388059.701492537
0.0068367346938775515,31000.0,4534328.358208955
0.0068367346938775515,32000.0,4680597.014925373
0.0068367346938775515,33000.0,4826865.67164179
0.0068367346938775515,34000.0,4973134.328358209
0.0068367346938775515,35000.0,5119402.985074626
0.0068367346938775515,36000.0,5265671.641791045
0.0068367346938775515,37000.0,5411940.298507462
0.0068367346938775515,38000.0,5558208.95522388
0.0068367346938775515,39000.0,5704477.611940298
0.0068367346938775515,40000.0,5850746.268656716
0.0068367346938775515,41000.0,5997014.925373134
0.0068367346938775515,42000.0,6143283.582089552
0.0068367346938775515,43000.0,6289552.23880597
0.0068367346938775515,44000.0,6435820.895522388
0.0068367346938775515,45000.0,6582089.552238805
0.0068367346938775515,46000.0,6728358.208955224
0.0068367346938775515,47000.0,6874626.865671641
0.0068367346938775515,48000.0,7020895.52238806
0.0068367346938775515,49000.0,7167164.179104477
0.0068367346938775515,50000.0,7313432.835820895
0.007755102040816327,1000.0,128947.36842105263
0.007755102040816327,2000.0,257894.73684210525
0.007755102040816327,3000.0,386842.10526315786
0.007755102040816327,4000.0,515789.4736842105
0.007755102040816327,5000.0,644736.8421052631
0.007755102040816327,6000.0,773684.2105263157
0.007755102040816327,7000.0,902631.5789473684
0.007755102040816327,8000.0,1031578.947368421
0.007755102040816327,9000.0,1160526.3157894737
0.007755102040816327,10000.0,1289473.6842105263
0.007755102040816327,11000.0,1418421.0526315789
0.007755102040816327,12000.0,1547368.4210526315
0.007755102040816327,13000.0,1676315.7894736843
0.007755102040816327,14000.0,1805263.1578947369
0.007755102040816327,15000.0,1934210.5263157894
0.007755102040816327,16000.0,2063157.894736842
0.007755102040816327,17000.0,2192105.263157895
0.007755102040816327,18000.0,2321052.6315789474
0.007755102040816327,19000.0,2450000.0
0.007755102040816327,20000.0,2578947.3684210526
0.007755102040816327,21000.0,2707894.736842105
0.007755102040816327,22000.0,2836842.1052631577
0.007755102040816327,23000.0,2965789.4736842103
0.007755102040816327,24000.0,3094736.842105263
0.007755102040816327,25000.0,3223684.2105263155
0.007755102040816327,26000.0,3352631.5789473685
0.007755102040816327,27000.0,3481578.947368421
0.007755102040816327,28000.0,3610526.3157894737
0.007755102040816327,29000.0,3739473.6842105263
0.007755102040816327,30000.0,3868421.052631579
0.007755102040816327,31000.0,3997368.4210526315
0.007755102040816327,32000.0,4126315.789473684
0.007755102040816327,33000.0,4255263.157894737
0.007755102040816327,34000.0,4384210.52631579
0.007755102040816327,35000.0,4513157.894736842
0.007755102040816327,36000.0,4642105.263157895
0.007755102040816327,37000.0,4771052.631578947
0.007755102040816327,38000.0,4900000.0
0.007755102040816327,39000.0,5028947.368421053
0.007755102040816327,40000.0,5157894.736842105
0.007755102040816327,41000.0,5286842.105263158
0.007755102040816327,42000.0,5415789.47368421
0.007755102040816327,43000.0,5544736.842105263
0.007755102040816327,44000.0,5673684.2105263155
0.007755102040816327,45000.0,5802631.578947368
0.007755102040816327,46000.0,5931578.947368421
0.007755102040816327,47000.0,6060526.315789473
0.007755102040816327,48000.0,6189473.684210526
0.007755102040816327,49000.0,6318421.052631578
0.007755102040816327,50000.0,6447368.421052631
0.008673469387755102,1000.0,115294.11764705883
0.008673469387755102,2000.0,230588.23529411765
0.008673469387755102,3000.0,345882.35294117645
0.008673469387755102,4000.0,461176.4705882353
0.008673469387755102,5000.0,576470.5882352941
0.008673469387755102,6000.0,691764.7058823529
0.008673469387755102,7000.0,807058.8235294118
0.008673469387755102,8000.0,922352.9411764706
0.008673469387755102,9000.0,1037647.0588235294
0.008673469387755102,10000.0,1152941.1764705882
0.008673469387755102,11000.0,1268235.294117647
0.008673469387755102,12000.0,1383529.4117647058
0.008673469387755102,13000.0,1498823.5294117648
0.008673469387755102,14000.0,1614117.6470588236
0.008673469387755102,15000.0,1729411.7647058824
0.008673469387755102,16000.0,1844705.8823529412
0.008673469387755102,17000.0,1960000.0
0.008673469387755102,18000.0,2075294.1176470588
0.008673469387755102,19000.0,2190588.2352941176
0.008673469387755102,20000.0,2305882.3529411764
0.008673469387755102,21000.0,2421176.470588235
0.008673469387755102,22000.0,2536470.588235294
0.008673469387755102,23000.0,2651764.705882353
0.008673469387755102,24000.0,2767058.8235294116
0.008673469387755102,25000.0,2882352.941176471
0.008673469387755102,26000.0,2997647.0588235296
0.008673469387755102,27000.0,3112941.1764705884
0.008673469387755102,28000.0,3228235.294117647
0.008673469387755102,29000.0,3343529.411764706
0.008673469387755102,30000.0,3458823.529411765
0.008673469387755102,31000.0,3574117.6470588236
0.008673469387755102,32000.0,3689411.7647058824
0.008673469387755102,33000.0,3804705.882352941
0.008673469387755102,34000.0,3920000.0
0.008673469387755102,35000.0,4035294.117647059
0.008673469387755102,36000.0,4150588.2352941176
0.008673469387755102,37000.0,4265882.352941177
0.008673469387755102,38000.0,4381176.470588235
0.008673469387755102,39000.0,4496470.588235294
0.008673469387755102,40000.0,4611764.705882353
0.008673469387755102,41000.0,4727058.823529412
0.008673469387755102,42000.0,4842352.94117647
0.008673469387755102,43000.0,4957647.05882353
0.008673469387755102,44000.0,5072941.176470588
0.008673469387755102,45000.0,5188235.294117647
0.008673469387755102,46000.0,5303529.411764706
0.008673469387755102,47000.0,5418823.529411765
0.008673469387755102,48000.0,5534117.647058823
0.008673469387755102,49000.0,5649411.764705882
0.008673469387755102,50000.0,5764705.882352942
0.009591836734693878,1000.0,104255.31914893616
0.009591836734693878,2000.0,208510.63829787233
0.009591836734693878,3000.0,312765.9574468085
0.009591836734693878,4000.0,417021.27659574465
0.009591836734693878,5000.0,521276.59574468085
0.009591836734693878,6000.0,625531.914893617
0.009591836734693878,7000.0,729787.2340425531
0.009591836734693878,8000.0,834042.5531914893
0.009591836734693878,9000.0,938297.8723404255
0.009591836734693878,10000.0,1042553.1914893617
0.009591836734693878,11000.0,1146808.5106382978
0.009591836734693878,12000.0,1251063.829787234
0.009591836734693878,13000.0,1355319.1489361702
0.009591836734693878,14000.0,1459574.4680851062
0.009591836734693878,15000.0,1563829.7872340425
0.009591836734693878,16000.0,1668085.1063829786
0.009591836734693878,17000.0,1772340.4255319147
0.009591836734693878,18000.0,1876595.744680851
0.009591836734693878,19000.0,1980851.063829787
0.009591836734693878,20000.0,2085106.3829787234
0.009591836734693878,21000.0,2189361.702127659
0.009591836734693878,22000.0,2293617.0212765955
0.009591836734693878,23000.0,2397872.340425532
0.009591836734693878,24000.0,2502127.659574468
0.009591836734693878,25000.0,2606382.978723404
0.009591836734693878,26000.0,2710638.2978723403
0.009591836734693878,27000.0,2814893.6170212766
0.009591836734693878,28000.0,2919148.9361702125
0.009591836734693878,29000.0,3023404.255319149
0.009591836734693878,30000.0,3127659.574468085
0.009591836734693878,31000.0,3231914.893617021
0.009591836734693878,32000.0,3336170.212765957
0.009591836734693878,33000.0,3440425.5319148935
0.009591836734693878,34000.0,3544680.8510638294
0.009591836734693878,35000.0,3648936.1702127657
0.009591836734693878,36000.0,3753191.489361702
0.009591836734693878,37000.0,3857446.8085106383
0.009591836734693878,38000.0,3961702.127659574
0.009591836734693878,39000.0,4065957.4468085105
0.009591836734693878,40000.0,4170212.765957447
0.009591836734693878,41000.0,4274468.085106383
0.009591836734693878,42000.0,4378723.404255318
0.009591836734693878,43000.0,4482978.723404255
0.009591836734693878,44000.0,4587234.042553191
0.009591836734693878,45000.0,4691489.361702127
0.009591836734693878,46000.0,4795744.680851064
0.009591836734693878,47000.0,4900000.0
0.009591836734693878,48000.0,5004255.319148936
0.009591836734693878,49000.0,5108510.638297872
0.009591836734693878,50000.0,5212765.957446808
0.010510204081632654,1000.0,95145.63106796115
0.010510204081632654,2000.0,190291.2621359223
0.010510204081632654,3000.0,285436.8932038835
0.010510204081632654,4000.0,380582.5242718446
0.010510204081632654,5000.0,475728.15533980576
0.010510204081632654,6000.0,570873.786407767
