name,version,source,files,unsafe_blocks,unsafe_fns,unsafe_impls,total,location
adler2,2.0.1,registry+https://github.com/rust-lang/crates.io-index,3,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/adler2-2.0.1
ahash,0.8.12,registry+https://github.com/rust-lang/crates.io-index,14,7,0,0,7,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/ahash-0.8.12
aho-corasick,1.1.5,registry+https://github.com/rust-lang/crates.io-index,32,52,169,5,226,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/aho-corasick-1.1.5
anes,0.1.6,registry+https://github.com/rust-lang/crates.io-index,28,3,0,0,3,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/anes-0.1.6
anstyle,1.0.14,registry+https://github.com/rust-lang/crates.io-index,7,1,0,0,1,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/anstyle-1.0.14
arrayvec,0.7.8,registry+https://github.com/rust-lang/crates.io-index,12,39,11,2,52,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/arrayvec-0.7.8
async-trait,0.1.92,registry+https://github.com/rust-lang/crates.io-index,27,2,4,1,7,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/async-trait-0.1.92
atomic-waker,1.1.2,registry+https://github.com/rust-lang/crates.io-index,3,2,0,2,4,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/atomic-waker-1.1.2
autocfg,1.5.1,registry+https://github.com/rust-lang/crates.io-index,15,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/autocfg-1.5.1
axum,0.7.9,registry+https://github.com/rust-lang/crates.io-index,59,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/axum-0.7.9
axum-core,0.4.5,registry+https://github.com/rust-lang/crates.io-index,17,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/axum-core-0.4.5
base64,0.22.1,registry+https://github.com/rust-lang/crates.io-index,25,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/base64-0.22.1
base64ct,1.8.3,registry+https://github.com/rust-lang/crates.io-index,23,4,0,0,4,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/base64ct-1.8.3
bitflags,2.13.2,registry+https://github.com/rust-lang/crates.io-index,51,0,0,2,2,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bitflags-2.13.2
blake3,1.8.7,registry+https://github.com/rust-lang/crates.io-index,20,135,91,0,226,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/blake3-1.8.7
block-buffer,0.10.4,registry+https://github.com/rust-lang/crates.io-index,3,4,0,0,4,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/block-buffer-0.10.4
btv-core,0.2.0,local,14,0,0,0,0,LOCAL (btv-core)
btv-python,0.2.0,local,1,0,0,0,0,LOCAL (btv-python)
btv-transparency,0.1.0,local,13,0,0,0,0,LOCAL (paper2)
bumpalo,3.20.3,registry+https://github.com/rust-lang/crates.io-index,10,125,47,12,184,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bumpalo-3.20.3
bytes,1.12.1,registry+https://github.com/rust-lang/crates.io-index,31,74,68,15,157,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bytes-1.12.1
cast,0.3.0,registry+https://github.com/rust-lang/crates.io-index,2,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/cast-0.3.0
cc,1.4.6,registry+https://github.com/rust-lang/crates.io-index,16,13,2,2,17,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/cc-1.4.6
cfg-if,1.0.4,registry+https://github.com/rust-lang/crates.io-index,2,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/cfg-if-1.0.4
ciborium,0.2.2,registry+https://github.com/rust-lang/crates.io-index,20,7,0,0,7,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/ciborium-0.2.2
ciborium-io,0.2.2,registry+https://github.com/rust-lang/crates.io-index,1,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/ciborium-io-0.2.2
ciborium-ll,0.2.2,registry+https://github.com/rust-lang/crates.io-index,5,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/ciborium-ll-0.2.2
clap,4.6.6,registry+https://github.com/rust-lang/crates.io-index,85,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/clap-4.6.6
clap_builder,4.6.6,registry+https://github.com/rust-lang/crates.io-index,57,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/clap_builder-4.6.6
clap_lex,1.1.0,registry+https://github.com/rust-lang/crates.io-index,2,5,1,0,6,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/clap_lex-1.1.0
const-oid,0.9.6,registry+https://github.com/rust-lang/crates.io-index,9,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/const-oid-0.9.6
constant_time_eq,0.4.2,registry+https://github.com/rust-lang/crates.io-index,13,45,10,0,55,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/constant_time_eq-0.4.2
cpufeatures,0.2.17,registry+https://github.com/rust-lang/crates.io-index,8,6,3,0,9,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/cpufeatures-0.2.17
cpufeatures,0.3.1,registry+https://github.com/rust-lang/crates.io-index,8,8,3,0,11,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/cpufeatures-0.3.1
crc32fast,1.5.2,registry+https://github.com/rust-lang/crates.io-index,10,2,13,0,15,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/crc32fast-1.5.2
criterion,0.5.1,registry+https://github.com/rust-lang/crates.io-index,69,7,1,0,8,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/criterion-0.5.1
criterion-plot,0.5.0,registry+https://github.com/rust-lang/crates.io-index,14,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/criterion-plot-0.5.0
crossbeam-deque,0.8.8,registry+https://github.com/rust-lang/crates.io-index,7,29,6,6,41,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/crossbeam-deque-0.8.8
crossbeam-epoch,0.9.21,registry+https://github.com/rust-lang/crates.io-index,18,87,40,11,138,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/crossbeam-epoch-0.9.21
crossbeam-utils,0.8.23,registry+https://github.com/rust-lang/crates.io-index,24,53,8,16,77,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/crossbeam-utils-0.8.23
crunchy,0.2.4,registry+https://github.com/rust-lang/crates.io-index,2,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/crunchy-0.2.4
crypto-common,0.1.7,registry+https://github.com/rust-lang/crates.io-index,1,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/crypto-common-0.1.7
curve25519-dalek,4.1.3,registry+https://github.com/rust-lang/crates.io-index,50,33,2,0,35,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/curve25519-dalek-4.1.3
curve25519-dalek-derive,0.1.1,registry+https://github.com/rust-lang/crates.io-index,2,2,3,0,5,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/curve25519-dalek-derive-0.1.1
der,0.7.10,registry+https://github.com/rust-lang/crates.io-index,57,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/der-0.7.10
digest,0.10.7,registry+https://github.com/rust-lang/crates.io-index,14,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/digest-0.10.7
displaydoc,0.2.7,registry+https://github.com/rust-lang/crates.io-index,17,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/displaydoc-0.2.7
ed25519,2.2.3,registry+https://github.com/rust-lang/crates.io-index,7,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/ed25519-2.2.3
ed25519-dalek,2.2.0,registry+https://github.com/rust-lang/crates.io-index,15,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/ed25519-dalek-2.2.0
either,1.18.0,registry+https://github.com/rust-lang/crates.io-index,5,2,0,0,2,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/either-1.18.0
equivalent,1.0.2,registry+https://github.com/rust-lang/crates.io-index,1,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/equivalent-1.0.2
errno,0.3.14,registry+https://github.com/rust-lang/crates.io-index,6,12,0,0,12,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/errno-0.3.14
fallible-iterator,0.3.0,registry+https://github.com/rust-lang/crates.io-index,2,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/fallible-iterator-0.3.0
fallible-streaming-iterator,0.1.9,registry+https://github.com/rust-lang/crates.io-index,1,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/fallible-streaming-iterator-0.1.9
fiat-crypto,0.2.9,registry+https://github.com/rust-lang/crates.io-index,29,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/fiat-crypto-0.2.9
find-msvc-tools,0.1.12,registry+https://github.com/rust-lang/crates.io-index,10,40,6,2,48,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/find-msvc-tools-0.1.12
flate2,1.1.10,registry+https://github.com/rust-lang/crates.io-index,49,26,6,2,34,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/flate2-1.1.10
form_urlencoded,1.2.2,registry+https://github.com/rust-lang/crates.io-index,1,2,0,0,2,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/form_urlencoded-1.2.2
futures-channel,0.3.34,registry+https://github.com/rust-lang/crates.io-index,12,11,3,8,22,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/futures-channel-0.3.34
futures-core,0.3.34,registry+https://github.com/rust-lang/crates.io-index,7,3,0,2,5,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/futures-core-0.3.34
futures-task,0.3.34,registry+https://github.com/rust-lang/crates.io-index,7,27,24,12,63,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/futures-task-0.3.34
futures-util,0.3.34,registry+https://github.com/rust-lang/crates.io-index,186,84,20,32,136,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/futures-util-0.3.34
generic-array,0.14.7,registry+https://github.com/rust-lang/crates.io-index,10,44,6,20,70,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/generic-array-0.14.7
